SimTicketID,SampledHistoricalTicket,ArrivalTime,CompletionTime,TotalSystemTime,Closed_Level,Level1_Minutes,Level2_Minutes,Level3_Minutes
79,TKT0307,2487.675429957296,2654.3403824041993,166.6649524469035,2,31,55,0
83,TKT0499,2547.9493557845717,2717.207297706147,169.25794192157537,2,73,91,0
86,TKT0384,2609.7926674208375,2738.207297706147,128.4146302853096,1,112,0,0
87,TKT0465,2697.1306017245347,2791.1306017245347,94.0,2,65,29,0
91,TKT0020,2811.539282200657,2891.7489309978346,80.20964879717758,1,78,0,0
88,TKT0456,2744.7489309978346,2901.7489309978346,157.0,3,69,35,53
93,TKT0490,2877.8226294450033,2914.7489309978346,36.92630155283132,1,23,0,0
92,TKT0158,2833.0943599003576,2975.0383673533825,141.94400745302482,2,86,35,0
89,TKT0317,2756.0383673533825,2985.0383673533825,229.0,3,98,66,65
94,TKT0233,2909.304912529585,2996.304912529585,87.0,1,87,0,0
90,TKT0042,2808.559052461098,3082.559052461098,274.0,3,95,115,64
95,TKT0055,2918.464688166278,3083.0383673533825,164.57367918710452,2,48,108,0
98,TKT0288,2982.326537474615,3105.304912529585,122.97837505497,1,109,0,0
99,TKT0408,2997.440167490772,3116.0383673533825,118.59819986261027,1,78,0,0
97,TKT0210,2958.214215836515,3128.0383673533825,169.82415151686746,3,89,14,31
96,TKT0435,2933.2831058329116,3146.0383673533825,212.75526152047087,2,98,108,0
102,TKT0306,3067.7502482810987,3211.304912529585,143.55466424848646,1,106,0,0
101,TKT0283,3049.1595432337035,3233.464688166278,184.30514493257442,3,82,6,62
103,TKT0335,3176.68110577529,3261.68110577529,85.0,2,46,39,0
100,TKT0385,2998.359255857704,3275.464688166278,277.1054323085741,3,28,76,42
105,TKT0437,3277.449171159624,3342.449171159624,65.0,1,65,0,0
104,TKT0471,3265.7898292612613,3373.7898292612613,108.0,1,108,0,0
106,TKT0442,3355.432988495668,3397.432988495668,42.0,1,42,0,0
109,TKT0415,3433.891628747905,3445.891628747905,12.0,1,12,0,0
108,TKT0164,3402.4555032598787,3500.4555032598787,98.0,1,98,0,0
107,TKT0063,3359.494586349437,3543.494586349437,184.0,2,70,114,0
111,TKT0428,3472.0743277527145,3587.0743277527145,115.0,1,115,0,0
110,TKT0322,3448.079094129928,3592.079094129928,144.0,2,89,55,0
113,TKT0421,3508.0226558994755,3648.079094129928,140.0564382304524,2,57,54,0
115,TKT0436,3586.0341985529153,3689.079094129928,103.04489557701254,1,95,0,0
114,TKT0359,3517.760848326735,3693.0743277527145,175.3134794259795,1,106,0,0
112,TKT0458,3483.540580564269,3714.4555032598787,230.91492269560968,3,99,39,76
117,TKT0326,3638.582289632369,3724.8958071436396,86.31351751127067,1,44,0,0
116,TKT0434,3628.8958071436396,3782.8958071436396,154.0,3,52,64,38
119,TKT0268,3720.497850827164,3794.497850827164,74.0,1,74,0,0
120,TKT0115,3758.4931024441876,3839.4931024441876,81.0,2,40,41,0
118,TKT0318,3675.1393399104154,3902.079094129928,226.93975421951245,2,94,119,0
122,TKT0335,3863.2462233039028,3948.2462233039028,85.0,2,46,39,0
123,TKT0298,3953.597232895693,3995.597232895693,42.0,1,42,0,0
