SimTicketID,Time,Level,State,Technician
64,2070.6749159111323,2.0,Waiting for L2,
64,2070.6749159111323,2.0,In service at L2,L2-Tech-1
67,2073.741439639009,1.0,Finished L1,L1-Tech-3
67,2073.741439639009,2.0,Waiting for L2,
67,2073.741439639009,2.0,In service at L2,L2-Tech-2
65,2081.177657127335,1.0,Finished L1,L1-Tech-1
65,2081.177657127335,2.0,Waiting for L2,
68,2147.3785988585983,,Arrived,
68,2147.3785988585983,1.0,Waiting for L1,
68,2147.3785988585983,1.0,In service at L1,L1-Tech-2
64,2178.6749159111323,2.0,Finished L2,L2-Tech-1
65,2178.6749159111323,2.0,In service at L2,L2-Tech-1
64,2178.6749159111323,,Completed,
67,2188.741439639009,2.0,Finished L2,L2-Tech-2
67,2188.741439639009,,Completed,
69,2212.8644332628587,,Arrived,
69,2212.8644332628587,1.0,Waiting for L1,
69,2212.8644332628587,1.0,In service at L1,L1-Tech-3
65,2213.6749159111323,2.0,Finished L2,L2-Tech-1
65,2213.6749159111323,,Completed,
68,2215.3785988585983,1.0,Finished L1,L1-Tech-2
68,2215.3785988585983,,Completed,
69,2221.8644332628587,1.0,Finished L1,L1-Tech-3
69,2221.8644332628587,2.0,Waiting for L2,
69,2221.8644332628587,2.0,In service at L2,L2-Tech-2
70,2272.083645906054,,Arrived,
70,2272.083645906054,1.0,Waiting for L1,
70,2272.083645906054,1.0,In service at L1,L1-Tech-1
71,2295.3454277801943,,Arrived,
71,2295.3454277801943,1.0,Waiting for L1,
71,2295.3454277801943,1.0,In service at L1,L1-Tech-2
69,2298.8644332628587,2.0,Finished L2,L2-Tech-2
69,2298.8644332628587,,Completed,
72,2307.5124321371527,,Arrived,
72,2307.5124321371527,1.0,Waiting for L1,
72,2307.5124321371527,1.0,In service at L1,L1-Tech-3
72,2313.5124321371527,1.0,Finished L1,L1-Tech-3
72,2313.5124321371527,,Completed,
73,2314.5221643530085,,Arrived,
73,2314.5221643530085,1.0,Waiting for L1,
73,2314.5221643530085,1.0,In service at L1,L1-Tech-3
74,2319.011859136057,,Arrived,
74,2319.011859136057,1.0,Waiting for L1,
75,2325.0246269763925,,Arrived,
75,2325.0246269763925,1.0,Waiting for L1,
71,2355.3454277801943,1.0,Finished L1,L1-Tech-2
74,2355.3454277801943,1.0,In service at L1,L1-Tech-2
71,2355.3454277801943,,Completed,
76,2355.984607141953,,Arrived,
76,2355.984607141953,1.0,Waiting for L1,
77,2369.227457574608,,Arrived,
77,2369.227457574608,1.0,Waiting for L1,
74,2375.3454277801943,1.0,Finished L1,L1-Tech-2
75,2375.3454277801943,1.0,In service at L1,L1-Tech-2
74,2375.3454277801943,,Completed,
70,2387.083645906054,1.0,Finished L1,L1-Tech-1
76,2387.083645906054,1.0,In service at L1,L1-Tech-1
70,2387.083645906054,2.0,Waiting for L2,
70,2387.083645906054,2.0,In service at L2,L2-Tech-1
73,2412.5221643530085,1.0,Finished L1,L1-Tech-3
77,2412.5221643530085,1.0,In service at L1,L1-Tech-3
73,2412.5221643530085,2.0,Waiting for L2,
73,2412.5221643530085,2.0,In service at L2,L2-Tech-2
77,2429.5221643530085,1.0,Finished L1,L1-Tech-3
77,2429.5221643530085,,Completed,
78,2438.3403824041993,,Arrived,
78,2438.3403824041993,1.0,Waiting for L1,
78,2438.3403824041993,1.0,In service at L1,L1-Tech-3
70,2446.083645906054,2.0,Finished L2,L2-Tech-1
70,2446.083645906054,,Completed,
73,2478.5221643530085,2.0,Finished L2,L2-Tech-2
73,2478.5221643530085,3.0,Waiting for L3,
73,2478.5221643530085,3.0,In service at L3,L3-Tech-1
78,2480.3403824041993,1.0,Finished L1,L1-Tech-3
78,2480.3403824041993,2.0,Waiting for L2,
78,2480.3403824041993,2.0,In service at L2,L2-Tech-1
79,2487.675429957296,,Arrived,
79,2487.675429957296,1.0,Waiting for L1,
79,2487.675429957296,1.0,In service at L1,L1-Tech-3
75,2489.3454277801943,1.0,Finished L1,L1-Tech-2
75,2489.3454277801943,2.0,Waiting for L2,
75,2489.3454277801943,2.0,In service at L2,L2-Tech-2
80,2493.145827731972,,Arrived,
80,2493.145827731972,1.0,Waiting for L1,
80,2493.145827731972,1.0,In service at L1,L1-Tech-2
76,2496.083645906054,1.0,Finished L1,L1-Tech-1
76,2496.083645906054,2.0,Waiting for L2,
75,2503.3454277801943,2.0,Finished L2,L2-Tech-2
76,2503.3454277801943,2.0,In service at L2,L2-Tech-2
75,2503.3454277801943,,Completed,
79,2518.675429957296,1.0,Finished L1,L1-Tech-3
79,2518.675429957296,2.0,Waiting for L2,
81,2531.207297706147,,Arrived,
81,2531.207297706147,1.0,Waiting for L1,
81,2531.207297706147,1.0,In service at L1,L1-Tech-1
82,2535.167732806748,,Arrived,
82,2535.167732806748,1.0,Waiting for L1,
82,2535.167732806748,1.0,In service at L1,L1-Tech-3
73,2543.5221643530085,3.0,Finished L3,L3-Tech-1
73,2543.5221643530085,,Completed,
83,2547.9493557845717,,Arrived,
83,2547.9493557845717,1.0,Waiting for L1,
81,2553.207297706147,1.0,Finished L1,L1-Tech-1
83,2553.207297706147,1.0,In service at L1,L1-Tech-1
81,2553.207297706147,,Completed,
82,2556.167732806748,1.0,Finished L1,L1-Tech-3
82,2556.167732806748,,Completed,
84,2577.232080588443,,Arrived,
84,2577.232080588443,1.0,Waiting for L1,
84,2577.232080588443,1.0,In service at L1,L1-Tech-3
80,2584.145827731972,1.0,Finished L1,L1-Tech-2
80,2584.145827731972,,Completed,
78,2599.3403824041993,2.0,Finished L2,L2-Tech-1
79,2599.3403824041993,2.0,In service at L2,L2-Tech-1
78,2599.3403824041993,,Completed,
85,2608.325742076002,,Arrived,
85,2608.325742076002,1.0,Waiting for L1,
85,2608.325742076002,1.0,In service at L1,L1-Tech-2
86,2609.7926674208375,,Arrived,
86,2609.7926674208375,1.0,Waiting for L1,
76,2623.3454277801943,2.0,Finished L2,L2-Tech-2
76,2623.3454277801943,,Completed,
83,2626.207297706147,1.0,Finished L1,L1-Tech-1
86,2626.207297706147,1.0,In service at L1,L1-Tech-1
83,2626.207297706147,2.0,Waiting for L2,
83,2626.207297706147,2.0,In service at L2,L2-Tech-2
84,2647.232080588443,1.0,Finished L1,L1-Tech-3
84,2647.232080588443,,Completed,
85,2652.325742076002,1.0,Finished L1,L1-Tech-2
85,2652.325742076002,,Completed,
79,2654.3403824041993,2.0,Finished L2,L2-Tech-1
79,2654.3403824041993,,Completed,
87,2697.1306017245347,,Arrived,
87,2697.1306017245347,1.0,Waiting for L1,
87,2697.1306017245347,1.0,In service at L1,L1-Tech-3
